"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28"
"K11";"01";"";"1538939";"";"";"";"";"1538939";"";"20010530";"CH120003357290";"FT";"2";"";"CH714800037525";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1037159";"";"";"";"";"1037159";"";"20000114";"CH120003344412";"FT";"2";"";"CH714910064879";"FT";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1378764";"CH713542043276";"FT";"";"";"1396027";"";"20010503";"CH120004152252";"FT";"2";"";"CH714530061265";"FT";"";"";"";"";"18";"";"";"";"";"";"0"
"K11";"01";"";"1244038";"";"";"";"";"1244038";"";"20000127";"CH120004133305";"FT";"2";"";"CH710806992790";"";"";"";"";"";"45";"";"";"";"";"";"0"
"K11";"01";"";"1734706";"CH716610111419";"FT";"";"";"1734706";"";"20001202";"CH120004051579";"FT";"2";"2";"CH714800037525";"";"";"";"";"";"40";"";"";"";"";"";"0"
"K11";"01";"";"1435610";"CH713634004086";"FT";"";"";"1435610";"";"20000121";"CH120003811594";"FT";"2";"";"CH714530061265";"FT";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1288339";"CH710429225282";"FT";"";"";"1288339";"";"20001019";"CH120002735884";"FT";"1";"";"CH714800037525";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1497519";"CH713590067637";"FT";"";"";"1316230";"";"20010309";"CH120002641161";"FT";"2";"";"CH714530061265";"FT";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1173437";"CH110083132955";"BR";"";"";"1173437";"";"20000212";"CH120002492916";"BR";"2";"";"CH111903121470";"BR";"";"";"";"";"40";"";"";"";"";"";"0"
"K11";"01";"";"1317077";"CH713020033829";"FT";"";"";"1317077";"";"20001122";"CH120002713356";"FT";"2";"";"CH714800037525";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1638486";"";"";"";"";"";"";"19991001";"CH120001675952";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1745757";"";"";"";"";"1742510";"";"20001210";"CH120001677017";"MO";"2";"";"";"";"";"";"";"";"45";"";"";"";"";"";"0"
"K11";"01";"";"1470246";"";"";"";"";"1470246";"";"20000511";"CH120001646372";"FT";"2";"2";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1711448";"";"";"";"";"1753493";"";"19991207";"CH120001748663";"FT";"2";"";"";"";"";"";"";"";"45";"";"";"";"";"";"0"
"K11";"01";"";"1364019";"";"";"";"";"1363975";"";"20001222";"CH120004004940";"FT";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1486803";"CH714217015246";"FT";"";"";"1486803";"";"20020205";"CH120004068331";"FT";"2";"2";"";"";"";"";"";"";"32";"";"";"";"";"";"0"
"K11";"01";"";"1453065";"CH714490049211";"FT";"";"";"1507119";"";"20000619";"CH120003750664";"HF";"2";"2";"";"";"";"";"";"";"45";"";"";"";"";"";"0"
"K11";"01";"";"1856026";"";"";"";"";"1587937";"";"20000504";"CH120003008130";"BR";"2";"";"";"";"";"";"";"";"42";"";"";"";"";"";"0"
"K11";"01";"";"1046939";"";"";"";"";"";"";"19991001";"CH120003068295";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1631883";"";"";"";"";"1631883";"";"19991222";"CH120004198212";"BR";"2";"";"";"";"";"";"";"";"50";"";"";"";"";"";"0"
"K11";"01";"";"1346299";"";"";"";"";"1346299";"";"20000730";"CH120003967680";"SI";"2";"";"";"";"";"";"";"";"45";"";"";"";"";"";"0"
"K11";"01";"";"1430196";"";"";"";"";"";"";"20000117";"CH120004065248";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1511949";"";"";"";"";"1512564";"";"19991203";"CH120003968144";"FT";"2";"";"";"";"";"";"";"";"40";"";"";"";"";"";"0"
"K11";"01";"";"1963816";"";"";"";"";"1502572";"";"19991228";"CH120004228476";"FT";"2";"";"";"";"";"";"";"";"35";"";"";"";"";"";"0"
"K11";"01";"";"1502572";"";"";"";"";"1502572";"";"20000102";"CH120004228483";"FT";"2";"";"";"";"";"";"";"";"35";"";"";"";"";"";"0"
"K11";"01";"";"1360349";"";"";"";"";"1431575";"";"20000426";"CH120004174995";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1419047";"";"";"";"";"1419047";"";"20000709";"CH120001778455";"SI";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1595307";"CH110906141058";"BR";"";"";"1595307";"";"20000728";"CH120001622895";"BR";"2";"";"";"";"";"";"";"";"40";"";"";"";"";"";"0"
"K11";"01";"";"1708660";"CH110488026439";"BR";"";"";"1653816";"";"20010102";"CH120001923640";"BR";"2";"";"";"";"";"";"";"";"35";"";"";"";"";"";"1"
"K11";"01";"";"1293746";"CH710482207409";"FT";"";"";"1293746";"";"20010306";"CH120001231776";"FT";"2";"";"";"";"";"";"";"";"40";"";"";"";"";"";"0"
"K11";"01";"";"1195668";"CH111401027199";"BR";"";"";"1195668";"";"20000902";"CH120001359517";"BR";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1026719";"CH110343022286";"BR";"";"";"1057058";"";"20001204";"CH120001283652";"BR";"2";"";"";"";"";"";"";"";"42";"";"";"";"";"";"0"
"K11";"01";"";"1309799";"CH713207062055";"FT";"";"";"1309799";"";"20000819";"CH120001826521";"FT";"2";"2";"";"";"";"";"";"";"53";"";"";"";"";"";"0"
"K11";"01";"";"1471632";"";"";"";"";"";"";"19991001";"CH120006818873";"HF";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1168174";"";"";"";"";"";"";"19991001";"CH120006668195";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1341089";"";"";"";"";"1341089";"";"20001223";"CH120005664419";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1554489";"";"";"";"";"1079104";"";"20000611";"CH120006760004";"BR";"2";"";"";"";"";"";"";"";"45";"";"";"";"";"";"0"
"K11";"01";"";"1183672";"";"";"";"";"1183672";"";"20001031";"CH120005676528";"BR";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1648812";"CH110475149370";"BR";"";"";"1648812";"";"20001128";"CH120005651044";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1639605";"";"";"";"";"1639605";"";"20001120";"CH120001695325";"FT";"1";"";"";"";"";"";"";"";"55";"";"";"";"";"";"0"
"K11";"01";"";"1479249";"";"";"";"";"";"";"19991001";"CH120001974093";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1593556";"";"";"";"";"";"";"19981115";"CH120001793526";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1014105";"";"";"";"";"";"";"";"CH120001799306";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
